X,Y,FID,OBJECTID,FULL_ADDS,STPFX,STNAME,STTYPE,STNUM,STALPHA,ADD_TYPE,ZIP
-77.0408073035355,38.8148945918376,1,1,321 FIRST ST, ,FIRST,ST,321,,BP,22314
-77.0409765719523,38.8150289819231,2,2,325 FIRST ST, ,FIRST,ST,325,,BP,22314
-77.1080936449475,38.8390747711567,3,3,3240 S 28TH ST,S,28TH,ST,3240,,B,22302
-77.1083001021016,38.838955009964,4,4,3242 S 28TH ST,S,28TH,ST,3242,,B,22302
-77.1072588146737,38.8394564369635,5,5,3310 S 28TH ST,S,28TH,ST,3310,,B,22302
-77.1075913236813,38.839431465368,6,6,3312 S 28TH ST,S,28TH,ST,3312,,B,22302
-77.10715039515,38.8396240466879,7,7,3314 S 28TH ST,S,28TH,ST,3314,,B,22302
-77.1076642413861,38.8398019090983,8,8,3320 S 28TH ST,S,28TH,ST,3320,,B,22302
-77.1080263722865,38.8399020151399,9,9,3330 S 28TH ST,S,28TH,ST,3330,,B,22302
-77.1082004660516,38.8394399298566,10,10,3340 S 28TH ST,S,28TH,ST,3340,,B,22302
-77.1082357896991,38.8397435359847,11,11,3342 S 28TH ST,S,28TH,ST,3342,,B,22302
-77.1043914944592,38.8400441565837,12,12,4900 S 28TH ST,S,28TH,ST,4900,,B,22206
-77.1044465543555,38.8400743811301,13,13,4902 S 28TH ST,S,28TH,ST,4902,,B,22206
-77.1045047264701,38.8400642118973,14,14,4904 S 28TH ST,S,28TH,ST,4904,,B,22206
-77.1045636034488,38.8400944691573,15,15,4906 S 28TH ST,S,28TH,ST,4906,,B,22206
-77.1046234882643,38.8401271664121,16,16,4908 S 28TH ST,S,28TH,ST,4908,,B,22206
-77.1046703770994,38.8401493419803,17,17,4910 S 28TH ST,S,28TH,ST,4910,,B,22206
-77.1048316645161,38.840096526914,18,18,4912 S 28TH ST,S,28TH,ST,4912,,B,22206
-77.1049317922064,38.8399765374087,19,19,4914 S 28TH ST,S,28TH,ST,4914,,B,22206
-77.1049650691894,38.8399430502325,20,20,4916 S 28TH ST,S,28TH,ST,4916,,B,22206
-77.1025846179781,38.8382143765355,21,21,4900 S 29TH RD,S,29TH,RD,4900,,B,22206
-77.1029865862336,38.8384204281852,22,22,4901 S 29TH RD,S,29TH,RD,4901,,B,22206
-77.1027541247426,38.8380661728861,23,23,4902 S 29TH RD,S,29TH,RD,4902,,B,22206
-77.1030847657986,38.8383635398791,24,24,4903 S 29TH RD,S,29TH,RD,4903,,B,22206
-77.102474759738,38.8379277366607,25,25,4904 S 29TH RD,S,29TH,RD,4904,,B,22206
-77.1031771482925,38.8383110484825,26,26,4905 S 29TH RD,S,29TH,RD,4905,,B,22206
-77.1024333226583,38.8378020128605,27,27,4906 S 29TH RD,S,29TH,RD,4906,,B,22206
-77.1025256717884,38.8377105665316,28,28,4908 S 29TH RD,S,29TH,RD,4908,,B,22206
-77.1025615223217,38.8376695616451,29,29,4910 S 29TH RD,S,29TH,RD,4910,,B,22206
-77.1026564287106,38.837659599165,30,30,4912 S 29TH RD,S,29TH,RD,4912,,B,22206
-77.1027178448999,38.8376975708872,31,31,4914 S 29TH RD,S,29TH,RD,4914,,B,22206
-77.1027958410139,38.8377361949273,32,32,4916 S 29TH RD,S,29TH,RD,4916,,B,22206
-77.1028798459401,38.8377816159922,33,33,4918 S 29TH RD,S,29TH,RD,4918,,B,22206
-77.1029557781074,38.8378284013369,34,34,4920 S 29TH RD,S,29TH,RD,4920,,B,22206
-77.1030292703862,38.8378737746405,35,35,4922 S 29TH RD,S,29TH,RD,4922,,B,22206
-77.0417800834183,38.8159444388491,36,36,404 SECOND ST, ,SECOND,ST,404,,B,22314
-77.0418589156721,38.8159385766805,37,37,406 SECOND ST, ,SECOND,ST,406,,B,22314
-77.0419229894387,38.8159416532625,38,38,408 SECOND ST, ,SECOND,ST,408,,B,22314
-77.0420044116137,38.8159517881653,39,39,410 SECOND ST, ,SECOND,ST,410,,B,22314
-77.042074221897,38.8159594984012,40,40,412 SECOND ST, ,SECOND,ST,412,,B,22314
-77.0421637391835,38.8160016637466,41,41,414 SECOND ST, ,SECOND,ST,414,,B,22314
-77.1007192972936,38.8370867990905,42,42,4901 S 30TH ST,S,30TH,ST,4901,,B,22206
-77.1008012157638,38.8369917511825,43,43,4903 S 30TH ST,S,30TH,ST,4903,,B,22206
-77.1006933187676,38.8368094983119,44,44,4907 S 30TH ST,S,30TH,ST,4907,,B,22206
-77.1007752730654,38.8367125976021,45,45,4909 S 30TH ST,S,30TH,ST,4909,,B,22206
-77.1008233056929,38.8366591216266,46,46,4911 S 30TH ST,S,30TH,ST,4911,,B,22206
-77.0449607588855,38.8174760829301,47,47,700 W ABINGDON CT,W,ABINGDON,CT,700,,BP,22314
-77.04504636877,38.8175026740616,48,48,702 W ABINGDON CT,W,ABINGDON,CT,702,,BP,22314
-77.0451030080463,38.8175085893163,49,49,704 W ABINGDON CT,W,ABINGDON,CT,704,,BP,22314
-77.0450603459479,38.8177573949432,50,50,705 W ABINGDON CT,W,ABINGDON,CT,705,,BP,22314
-77.04515313161,38.8174971001408,51,51,706 W ABINGDON CT,W,ABINGDON,CT,706,,BP,22314
-77.0451138425404,38.817753195812,52,52,707 W ABINGDON CT,W,ABINGDON,CT,707,,BP,22314
-77.0451998714254,38.8174807912116,53,53,708 W ABINGDON CT,W,ABINGDON,CT,708,,BP,22314
-77.0451550487141,38.8177429808356,54,54,709 W ABINGDON CT,W,ABINGDON,CT,709,,BP,22314
-77.0452495180825,38.81746083609,55,55,710 W ABINGDON CT,W,ABINGDON,CT,710,,BP,22314
-77.0452047025135,38.8177254683163,56,56,711 W ABINGDON CT,W,ABINGDON,CT,711,,BP,22314
-77.0434905926737,38.8175887949996,57,57,1201 E ABINGDON DR,E,ABINGDON,DR,1201,,BP,22314
-77.043608859596,38.8188351866229,58,58,1303 E ABINGDON DR,E,ABINGDON,DR,1303,,B,22314
-77.0436707088676,38.8192051693991,59,59,1309 E ABINGDON DR,E,ABINGDON,DR,1309,,B,22314
-77.0432099969279,38.81919405997,60,60,1315 E ABINGDON DR,E,ABINGDON,DR,1315,,B,22314
-77.045280021412,38.8177289969001,61,61,713 W ABINGDON DR,W,ABINGDON,DR,713,,BP,22314
-77.0454144180652,38.8167543447862,62,62,1100 W ABINGDON DR,W,ABINGDON,DR,1100,,BP,22314
-77.0453044789512,38.8166908472646,63,63,1102 W ABINGDON DR,W,ABINGDON,DR,1102,,BP,22314
-77.0452527926407,38.816704071289,64,64,1104 W ABINGDON DR,W,ABINGDON,DR,1104,,BP,22314
-77.0452253447136,38.8167547981657,65,65,1106 W ABINGDON DR,W,ABINGDON,DR,1106,,BP,22314
-77.0453164486503,38.8171321514341,66,66,1108 W ABINGDON DR,W,ABINGDON,DR,1108,,BP,22314
-77.0453716269707,38.8171242719061,67,67,1110 W ABINGDON DR,W,ABINGDON,DR,1110,,BP,22314
